      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.050       18     +    0    0    0	(N
    0:00.308      111     L    0    0    0
    0:00.953      343     L    0    0    0
    0:01.586      571     L    0    0    0
    0:02.242      807     L    0    0    0
    0:02.911     1048     L    0    0    0
    0:03.575     1287     L    0    0    0
    0:04.231     1523     L    0    0    0
    0:04.903     1765     L    0    0    0
    0:05.539     1994     L    0    0    0
    0:06.164     2219     L    0    0    0
    0:06.764     2435     L    0    0    0
    0:07.392     2661     L    0    0    0
    0:08.008     2883     L    0    0    0
    0:08.656     3116     L    0    0    0
    0:09.311     3352     L    0    0    0
    0:09.961     3586     L    0    0    0
    0:10.592     3813     L    0    0    0
    0:11.225     4041     L    0    0    0
    0:11.844     4264     L    0    0    0
    0:12.444     4480     L    0    0    0
    0:13.028     4690     L    0    0    0
    0:13.633     4908     L    0    0    0
    0:14.244     5128     L    0    0    0
    0:14.883     5358     L    0    0    0
    0:15.533     5592     L    0    0    0
    0:16.167     5820     L    0    0    0
    0:16.797     6047     L    0    0    0
    0:17.386     6259     F    0    0    0
    0:18.006     6482     L    0    0    0
    0:18.600     6696     L    0    0    0
    0:19.217     6918     L    0    0    0
    0:19.817     7134     L    0    0    0
    0:20.436     7357     L    0    0    0
    0:21.067     7584     L    0    0    0
    0:21.733     7824     L    0    0    0
    0:22.408     8067     L    0    0    0
    0:23.033     8292     L    0    0    0
    0:23.644     8512     L    0    0    0
    0:24.269     8737     L    0    0    0
    0:24.919     8971     L    0    0    0
    0:25.547     9197     L    0    0    0
    0:26.175     9423     L    0    0    0
    0:26.833     9660     L    0    0    0
    0:27.506     9902     L    0    0    0
    0:28.189    10148     L    0    0    0
    0:28.864    10391     L    0    0    0
    0:29.500    10620     L    0    0    0
    0:30.125    10845     L    0    0    0
    0:30.764    11075     L    0    0    0
    0:31.417    11310     F    0    0    0
    0:32.081    11549     L    0    0    0
    0:32.733    11784     L    0    0    0
    0:33.417    12030     L    0    0    0
    0:34.103    12277     L    0    0    0
    0:34.786    12523     L    0    0    0
    0:35.458    12765     L    0    0    0
    0:36.103    12997     L    0    0    0
    0:36.744    13228     L    0    0    0
    0:37.400    13464     L    0    0    0
    0:38.100    13716     L    0    0    0
    0:38.678    13924     V    0    0    0
    0:39.478    14212     L    0    0    0
    0:40.175    14463     L    0    0    0
    0:40.872    14714     L    0    0    0
    0:41.550    14958     L    0    0    0
    0:42.225    15201     L    0    0    0
    0:42.881    15437     L    0    0    0
    0:43.525    15669     L    0    0    0
    0:44.217    15918     L    0    0    0
    0:44.947    16181     L    0    0    0
    0:45.658    16437     L    0    0    0
    0:46.350    16686     L    0    0    0
    0:47.044    16936     L    0    0    0
    0:47.717    17178     L    0    0    0
    0:48.400    17424     L    0    0    0
    0:49.064    17663     L    0    0    0
    0:49.731    17903     L    0    0    0
    0:50.428    18154     L    0    0    0
    0:51.172    18422     L    0    0    0
    0:51.886    18679     L    0    0    0
    0:52.581    18929     L    0    0    0
    0:53.267    19176     L    0    0    0
    0:53.931    19415     L    0    0    0
    0:54.611    19660     L    0    0    0
    0:55.297    19907     L    0    0    0
    0:55.975    20151     L    0    0    0
    0:56.667    20400     L    0    0    0
    0:57.411    20668     L    0    0    0
    0:58.136    20929     L    0    0    0
    0:58.833    21180     L    0    0    0
    0:59.514    21425     L    0    0    0
