      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.047       17     +    0    0    0	(N
    0:00.258       93     N    0    0    0
    0:00.906      326     N    0    0    0
    0:01.558      561     N    0    0    0
    0:02.217      798     N    0    0    0
    0:02.825     1017     N    0    0    0
    0:03.481     1253     N    0    0    0
    0:04.133     1488     N    0    0    0
    0:04.806     1730     N    0    0    0
    0:05.464     1967     N    0    0    0
    0:06.133     2208     N    0    0    0
    0:06.800     2448     N    0    0    0
    0:07.478     2692     N    0    0    0
    0:08.153     2935     N    0    0    0
    0:08.844     3184     N    0    0    0
    0:09.542     3435     N    0    0    0
    0:10.239     3686     N    0    0    0
    0:10.931     3935     N    0    0    0
    0:11.617     4182     N    0    0    0
    0:12.297     4427     N    0    0    0
    0:13.006     4682     N    0    0    0
    0:13.703     4933     N    0    0    0
    0:14.397     5183     N    0    0    0
    0:15.069     5425     N    0    0    0
    0:15.772     5678     N    0    0    0
    0:16.469     5929     N    0    0    0
    0:17.161     6178     N    0    0    0
    0:17.825     6417     N    0    0    0
    0:18.556     6680     N    0    0    0
    0:19.239     6926     N    0    0    0
    0:19.900     7164     N    0    0    0
    0:20.572     7406     N    0    0    0
    0:21.275     7659     N    0    0    0
    0:21.956     7904     N    0    0    0
    0:22.636     8149     N    0    0    0
    0:23.269     8377     N    0    0    0
    0:23.939     8618     N    0    0    0
    0:24.611     8860     N    0    0    0
    0:25.269     9097     N    0    0    0
    0:25.922     9332     N    0    0    0
    0:26.586     9571     N    0    0    0
    0:27.269     9817     N    0    0    0
    0:27.939    10058     N    0    0    0
    0:28.606    10298     N    0    0    0
    0:29.261    10534     N    0    0    0
    0:29.961    10786     N    0    0    0
    0:30.647    11033     N    0    0    0
    0:31.328    11278     N    0    0    0
    0:32.022    11528     N    0    0    0
    0:32.717    11778     N    0    0    0
    0:33.417    12030     N    0    0    0
    0:34.111    12280     N    0    0    0
    0:34.828    12538     N    0    0    0
    0:35.536    12793     N    0    0    0
    0:36.236    13045     N    0    0    0
    0:36.931    13295     N    0    0    0
    0:37.647    13553     N    0    0    0
    0:38.347    13805     N    0    0    0
    0:39.042    14055     N    0    0    0
    0:39.725    14301     N    0    0    0
    0:40.428    14554     N    0    0    0
    0:41.122    14804     N    0    0    0
    0:41.811    15052     N    0    0    0
    0:42.514    15305     N    0    0    0
    0:43.222    15560     N    0    0    0
    0:43.917    15810     N    0    0    0
    0:44.611    16060     N    0    0    0
    0:45.306    16310     N    0    0    0
    0:46.011    16564     N    0    0    0
    0:46.719    16819     N    0    0    0
    0:47.425    17073     N    0    0    0
    0:48.108    17319     N    0    0    0
    0:48.811    17572     N    0    0    0
    0:49.517    17826     N    0    0    0
    0:50.219    18079     N    0    0    0
    0:50.928    18334     N    0    0    0
    0:51.656    18596     N    0    0    0
    0:52.381    18857     N    0    0    0
    0:53.089    19112     N    0    0    0
    0:53.772    19358     N    0    0    0
    0:54.528    19630     N    0    0    0
    0:55.233    19884     N    0    0    0
    0:55.958    20145     N    0    0    0
    0:56.667    20400     N    0    0    0
    0:57.394    20662     N    0    0    0
    0:58.069    20905     N    0    0    0
    0:58.789    21164     N    0    0    0
    0:59.500    21420     N    0    0    0
