      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.200       72     +    0    0    0	(N
    0:00.525      189     N    0    0    0
    0:01.661      598     N    0    0    0
    0:02.794     1006     N    0    0    0
    0:03.911     1408     N    0    0    0
    0:05.094     1834     N    0    0    0
    0:06.247     2249     N    0    0    0
    0:07.436     2677     N    0    0    0
    0:08.625     3105     N    0    0    0
    0:09.803     3529     N    0    0    0
    0:10.994     3958     N    0    0    0
    0:12.172     4382     N    0    0    0
    0:13.333     4800     N    0    0    0
    0:14.553     5239     N    0    0    0
    0:15.758     5673     N    0    0    0
    0:16.939     6098     N    0    0    0
    0:18.194     6550     N    0    0    0
    0:19.397     6983     N    0    0    0
    0:20.642     7431     N    0    0    0
    0:21.864     7871     N    0    0    0
    0:23.111     8320     N    0    0    0
    0:24.356     8768     N    0    0    0
    0:25.581     9209     N    0    0    0
    0:26.806     9650     N    0    0    0
    0:27.997    10079     N    0    0    0
    0:29.219    10519     N    0    0    0
    0:30.358    10929     N    0    0    0
    0:31.517    11346     N    0    0    0
    0:32.667    11760     N    0    0    0
    0:33.831    12179     N    0    0    0
    0:35.061    12622     N    0    0    0
    0:36.292    13065     N    0    0    0
    0:37.503    13501     N    0    0    0
    0:38.761    13954     N    0    0    0
    0:39.967    14388     N    0    0    0
    0:41.225    14841     N    0    0    0
    0:42.453    15283     N    0    0    0
    0:43.650    15714     N    0    0    0
    0:44.867    16152     N    0    0    0
    0:46.056    16580     N    0    0    0
    0:47.283    17022     N    0    0    0
    0:48.478    17452     N    0    0    0
    0:49.697    17891     N    0    0    0
    0:50.964    18347     N    0    0    0
    0:52.150    18774     N    0    0    0
    0:53.406    19226     N    0    0    0
    0:54.650    19674     N    0    0    0
    0:55.853    20107     N    0    0    0
    0:57.064    20543     N    0    0    0
    0:58.286    20983     N    0    0    0
    0:59.500    21420     N    0    0    0
