      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.025        9     +    0    0    0	(N
    0:00.128       46     F    0    0    0
    0:00.581      209     V    1    0    0
    0:01.342      483     N    0    0    0
    0:01.936      697     F    0    0    0
    0:02.369      853     V    1    0    0
    0:03.281     1181     N    0    0    0
    0:03.828     1378     V    0    0    0
    0:04.386     1579     V    0    0    0
    0:05.167     1860     N    0    0    0
    0:05.717     2058     V    1    0    0
    0:06.228     2242     V    1    0    0
    0:07.106     2558     N    0    0    0
    0:07.631     2747     V    1    0    0
    0:08.139     2930     V    1    0    0
    0:08.892     3201     N    0    0    0
    0:09.475     3411     V    1    0    0
    0:10.017     3606     V    1    0    0
    0:10.794     3886     N    0    0    0
    0:11.381     4097     F    0    0    0
    0:11.839     4262     V    1    0    0
    0:12.681     4565     N    0    0    0
    0:13.239     4766     F    0    0    0
    0:13.733     4944     V    1    0    0
    0:14.433     5196     N    0    0    0
    0:15.039     5414     F    0    0    0
    0:15.467     5568     V    1    0    0
    0:16.386     5899     N    0    0    0
    0:16.958     6105     V    1    0    0
    0:17.511     6304     V    1    0    0
    0:18.006     6482     ~    2    0    0
    0:18.275     6579     N    0    0    0
    0:18.822     6776     F    0    0    0
    0:19.281     6941     V    1    0    0
    0:19.914     7169     N    0    0    0
    0:20.414     7349     N    0    0    0
    0:20.964     7547     F    0    0    0
    0:21.528     7750     N    0    0    0
    0:22.086     7951     N    0    0    0
    0:22.481     8093     ~    0    0    0
    0:22.631     8147     N    0    0    0
    0:23.103     8317     V    1    0    0
    0:23.700     8532     N    0    0    0
    0:24.242     8727     N    0    0    0
    0:24.783     8922     N    0    0    0
    0:25.242     9087     V    1    0    0
    0:25.817     9294     N    0    0    0
    0:26.311     9472     N    0    0    0
    0:26.803     9649     N    0    0    0
    0:27.289     9824     V    1    0    0
    0:27.875    10035     N    0    0    0
    0:28.425    10233     N    0    0    0
    0:28.953    10423     N    0    0    0
    0:29.431    10595     V    0    0    0
    0:29.975    10791     N    0    0    0
    0:30.481    10973     N    0    0    0
    0:30.986    11155     N    0    0    0
    0:31.456    11324     V    0    0    0
    0:32.017    11526     N    0    0    0
    0:32.492    11697     N    0    0    0
    0:33.022    11888     N    0    0    0
    0:33.486    12055     V    1    0    0
    0:34.092    12273     N    0    0    0
    0:34.642    12471     N    0    0    0
    0:35.222    12680     N    0    0    0
    0:35.817    12894     N    0    0    0
    0:36.194    13030     ~    2    0    0
    0:36.386    13099     N    0    0    0
    0:36.922    13292     F    0    0    0
    0:37.461    13486     N    0    0    0
    0:37.981    13673     N    0    0    0
    0:38.472    13850     N    0    0    0
    0:39.017    14046     N    0    0    0
    0:39.586    14251     N    0    0    0
    0:40.136    14449     N    0    0    0
    0:40.608    14619     V    1    0    0
    0:41.236    14845     N    0    0    0
    0:41.767    15036     N    0    0    0
    0:42.272    15218     V    1    0    0
    0:42.864    15431     N    0    0    0
    0:43.411    15628     N    0    0    0
    0:43.975    15831     F    0    0    0
    0:44.536    16033     N    0    0    0
    0:45.114    16241     N    0    0    0
    0:45.617    16422     V    1    0    0
    0:46.325    16677     N    0    0    0
    0:46.942    16899     N    0    0    0
    0:47.467    17088     V    1    0    0
    0:48.089    17312     N    0    0    0
    0:48.653    17515     N    0    0    0
    0:49.208    17715     F    0    0    0
    0:49.767    17916     N    0    0    0
    0:50.306    18110     N    0    0    0
    0:50.850    18306     N    0    0    0
    0:51.442    18519     N    0    0    0
    0:52.019    18727     N    0    0    0
    0:52.583    18930     N    0    0    0
    0:53.033    19092     V    1    0    0
    0:53.703    19333     N    0    0    0
    0:54.272    19538     N    0    0    0
    0:54.792    19725     V    1    0    0
    0:55.139    19850     ~    0    0    0
    0:55.331    19919     N    0    0    0
    0:55.847    20105     N    0    0    0
    0:56.364    20291     F    0    0    0
    0:56.814    20453     V    1    0    0
    0:57.558    20721     N    0    0    0
    0:58.144    20932     F    0    0    0
    0:58.622    21104     V    1    0    0
    0:59.331    21359     N    0    0    0
    0:59.889    21560     N    0    0    0
